00, fb A5, fb B6, fb B15, pin 20, pin 27, pin 44
01, fb A3, fb A11, fb A15, pin 4, pin 14, pin 34
02, fb A2, fb A9, fb A13, fb B12, pin 19, pin 45
03, fb A12, pin 28, pin 31, pin 14, pin 44, fb B12
04, fb A7, fb B7, pin 24, pin 32, pin 44, fb A15
05, fb A4, fb A14, fb B3, pin 18, pin 38, pin 4
06, fb B10, pin 8, pin 22, pin 40, pin 4, fb B7
07, fb A6, fb B1, fb B4, fb B13, pin 10, pin 45
08, fb A8, fb B0, pin 33, fb A3, pin 20, pin 45
09, fb B11, pin 9, pin 17, pin 47, fb B15, fb A9
10, pin 23, pin 26, pin 43, fb A2, fb B3, fb B11
11, pin 3, pin 21, fb A11, pin 47, fb A5, pin 28
12, pin 16, pin 27, fb A3, fb B7, pin 31, pin 47
13, fb A10, pin 2, pin 39, pin 14, fb A5, pin 9
14, fb A0, fb B9, pin 10, fb A8, pin 43, pin 8
15, fb B5, fb B8, fb B14, pin 19, pin 39, fb B0
16, fb B2, pin 34, pin 18, fb B15, fb A7, fb A10
17, fb A1, pin 15, pin 27, fb A11, pin 40, fb B9
18, fb A13, fb A6, pin 17, fb B5, pin 38, pin 3
19, pin 7, pin 41, fb A4, fb A8, pin 19, pin 2
20, pin 46, pin 28, fb A0, fb B5, pin 18, fb B10
21, pin 42, pin 22, pin 7, fb B14, fb B3, fb B9
22, fb A13, pin 32, pin 41, pin 10, fb A12, fb B8
23, pin 48, fb B11, pin 2, fb B6, pin 16, fb B0
24, fb B4, pin 40, fb A4, pin 3, pin 24, fb B2
25, pin 21, fb A6, fb A1, pin 42, fb B6, fb B2
26, pin 26, pin 42, pin 17, fb A7, fb A12, fb A0
27, fb B1, pin 31, pin 20, pin 38, fb A10, fb B11
28, fb A14, pin 33, pin 46, pin 23, fb B12, fb B7
29, fb B10, pin 48, fb B4, pin 7, pin 23, fb A1
30, pin 9, fb A4, pin 32, pin 22, fb B5, pin 48
31, fb A7, pin 15, fb A2, pin 39, fb B1, fb B6
32, pin 34, pin 24, fb B14, pin 26, fb B12, fb A8
33, fb B13, pin 21, fb A10, pin 41, fb B10, fb A14
34, fb A9, fb A3, pin 46, pin 8, pin 15, fb B13
35, pin 43, fb B8, pin 33, fb A15, fb A9, pin 16